sentence: 双下肢深静脉(除右侧股浅及股深静脉外)及大隐静脉近段未见异常声像。
0	双下肢	身体结构	[]	[]	[1, 4]
1	深静脉	身体结构	[0]	[是_的限定]	[4, 7]
2	(	-	[]	[]	[]
3	除	否定	[]	[]	[8, 9]
4	右侧	方位	[]	[]	[9, 11]
5	股浅	方位	[]	[]	[11, 13]
6	及	-	[]	[]	[]
7	股深	方位	[]	[]	[14, 16]
8	静脉	身体结构	[5, 7, 4, 3]	[是_的限定, 是_的限定, 是_的限定, 是_的限定]	[16, 18]
9	外	-	[]	[]	[]
10	)	-	[]	[]	[]
11	及	-	[]	[]	[]
12	大隐静脉	身体结构	[]	[]	[21, 25]
13	近段	局部位置	[12]	[是_的限定]	[25, 27]
14	未见	否定	[]	[]	[27, 29]
15	异常	症状表现	[]	[]	[29, 31]
16	声像	影像	[14, 15, 13]	[是_的限定, 是_的限定, 是_的限定]	[31, 33]

sentence: 1.右中叶、左上肺舌段、左下肺炎症。2.心包积液。3.右下肺外基底节钙化灶。
0	1	-	[]	[]	[]
1	.	-	[]	[]	[]
2	右中叶	身体结构	[]	[]	[39, 42]
3	、	-	[]	[]	[]
4	左上肺	身体结构	[]	[]	[43, 46]
5	舌段	局部位置	[4]	[是_的限定]	[46, 48]
6	、	-	[]	[]	[]
7	左下肺	身体结构	[]	[]	[49, 52]
8	炎症	症状表现	[2, 5, 7]	[是_的限定, 是_的限定, 是_的限定]	[52, 54]
9	。	-	[]	[]	[]
10	2	-	[]	[]	[]
11	.	-	[]	[]	[]
12	心包积液	症状表现	[]	[]	[57, 61]
13	。	-	[]	[]	[]
14	3	-	[]	[]	[]
15	.	-	[]	[]	[]
16	右下肺	身体结构	[]	[]	[64, 67]
17	外基底节	局部位置	[16]	[是_的限定]	[67, 71]
18	钙化灶	异常结构	[17]	[是_的限定]	[71, 74]

sentence: 符合右肾囊性病变(肾囊肿)。左肾未见结石及积液。双侧输尿管上段未见扩张。膀胱未见结石。
0	符合	-	[]	[]	[]
1	右肾	身体结构	[]	[]	[80, 82]
2	囊性病变	症状表现	[1]	[是_的限定]	[82, 86]
3	(	-	[]	[]	[]
4	肾囊肿	疾病	[]	[]	[87, 90]
5	)	-	[]	[]	[]
6	。	-	[]	[]	[]
7	左肾	身体结构	[]	[]	[92, 94]
8	未见	否定	[]	[]	[94, 96]
9	结石	特别物体	[7, 8]	[是_的限定, 是_的限定]	[96, 98]
10	及	-	[]	[]	[]
11	积液	症状表现	[7, 8]	[是_的限定, 是_的限定]	[99, 101]
12	。	-	[]	[]	[]
13	双侧	方位	[]	[]	[102, 104]
14	输尿管	身体结构	[13]	[是_的限定]	[104, 107]
15	上段	局部位置	[14]	[是_的限定]	[107, 109]
16	未见	否定	[]	[]	[109, 111]
17	扩张	症状表现	[16]	[是_的限定]	[111, 113]
18	。	-	[]	[]	[]
19	膀胱	身体结构	[]	[]	[114, 116]
20	未见	否定	[]	[]	[116, 118]
21	结石	异常结构	[19, 20]	[是_的限定, 是_的限定]	[118, 120]

sentence: 1.两肺渗出较前明显吸收减少,考虑左心功能不全—两肺水肿并感染较前改善,请结合临床。2.拟两上肺纤维钙化性肺结核大致同前。3.心影稍增大,主动脉硬化。4.两侧胸腔少量积液较前减少。
0	1	-	[]	[]	[]
1	.	-	[]	[]	[]
2	两肺	身体结构	[]	[]	[126, 128]
3	渗出	症状表现	[2, 7]	[是_的限定, 是_的限定]	[128, 130]
4	较前	-	[]	[]	[]
5	明显	程度	[]	[]	[132, 134]
6	吸收	特别动作	[5]	[是_的限定]	[134, 136]
7	减少	趋势	[5]	[是_的限定]	[136, 138]
8	,	-	[]	[]	[]
9	考虑	-	[]	[]	[]
10	左心功能不全	疾病	[15]	[是_的限定]	[141, 147]
11	—	-	[]	[]	[]
12	两肺水肿	症状表现	[15]	[是_的限定]	[148, 152]
13	并	-	[]	[]	[]
